Link,Type,HTML Header,1,2,3,4,5
https://www.tonixpharma.com/news-events/ir-events,list,"<div class=""text"">","(TONIX,none,annual,Shareholders,05/07/2021,11:00am,ET,none,none,https://viewproxy.com/tonixpharma/2021/VM/)","(TONIX,none,annual,news,04/29/2021,none,none,none,none,https://youtu.be/-V60UTKEGCQ)","(TONIX,none,annual, Healthcare Conference,04/14/2021,8:00am,ET,none,none,https://wsw.com/webcast/needham107/register.aspx?conf=needham107&page=tnxp&url=https://wsw.com/webcast/needham107/tnxp/2297636)","(TONIX,none,none, Shareholders,03/26/2021,11:00am,ET,none,none,https://viewproxy.com/tonixpharma/2021vm/VM/)","(TONIX,none,none, none,03/23/2021,none,none,none,none,https://zoom.us/webinar/register/WN_5dcVSfBCRqyhIDtbHs4brg)"
https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,list,"<div class=""field-nir-event-title"">","(PNC,2021,annual,Shareholders,04/27/2021,11:00am,EDT,none,none,none)","(PNC,2021,Q1,Earnings,04/16/2021,9:00am,EDT,none,none,none)","(PNC,none,none,Financial,02/24/2021,11:20am,EST,none,none,none)","(PNC,2020,Q4,Earnings,01/15/2021,11:00am,EST,none,none,none)",
https://investors.angiodynamics.com/events.cfm,list,"<div class=""nir-widget--list"">","(angiodynamics,none,none,Healthcare ,04/12/2021,8:45am,EDT,none,none,https://wsw.com/webcast/needham107/ango/2233330)","(angiodynamics,none,none,news,03/24/2021,10:00am,EDT,none,none,https://wsw.com/webcast/key15/ango/1664075)","(angiodynamics,none,none,Healthcare ,03/16/2021,9:20am,EDT,none,none,https://wsw.com/webcast/oppenheimer9/ango/2699785)","(angiodynamics,none,none,Healthcare ,03/09/2021,8:00am,EDT,none,none,https://kvgo.com/2021-global-healthcare-conference/angiodynamics-march-2021)","(angiodynamics,none,none,Healthcare ,01/14/2021,2:50pm,EDT,none,none,https://jpmorgan.metameetings.net/events/healthcare21/sessions/35641-angiodynamics-inc/webcast?gpu_only=true&kiosk=true)"
https://ir.biminicapital.com/events-and-presentations/default.aspx,single,"<div class=""module_container module_container--content"">","(Bimini,2020,Q4,earnings,03/12/2021,10:00am,ET,none,none,https://event.on24.com/wcc/r/3044623/44A10F5CBA50FE24174070B2D837F793)",,,,
https://investors.clr.com/event-calendar,list,"<div class=""wd_events_list"">","(Continental Resources Inc.,Q1,2021,earningd,04/29/2021,11:00am,CDT,none,none,https://www.webcaster4.com/Webcast/Page/2083/40546)","(Continental Resources Inc.,Q4,2020,earningd,02/17/2021,11:00am,CDT,none,none,https://www.webcaster4.com/Webcast/Page/2083/39632)","(Continental Resources Inc.,Q3,2020,earningd,11/6/2020,9:00am,CDT,none,none,https://investors.clr.com/event-calendar?item=14)","(Continental Resources Inc.,Q2,2020,earningd,8/4/2020,11:00am,CDT,none,none,https://www.webcaster4.com/Webcast/Page/2083/35745)","(Continental Resources Inc.,Q1,2020,earningd,3/11/2020,11:00am,CDT,none,none,https://www.webcaster4.com/Webcast/Page/2083/34009)"
https://www.elcompanies.com/en/investors/events-and-presentations,list,"<div class=""eventsAndPresentationFormsWrapper"">","(estee lauder companies, 2021, q3, earnings release & conference call, may 03 2021, 09:30 AM, ET, none, none, https://services.choruscall.com/links/el210503xk8KQ58x.html)","(estee lauder companies, 2021, q4, earnings release & conference call, aug 19 2021, 09:30 AM, ET, none, none, none)","(estee lauder companies, 2022, q1, earnings release & conference call, nov 02 2021, 09:30 AM, ET, none, none, none)","(estee lauder companies, 2021, annual, stockholders' meeting, nov 12 2021, 10:00 AM, ET, none, none, none)","(estee lauder companies, 2022, q2, earnings release & conference call, feb 03 2022, 09:30 AM, ET, none, none, none)"
http://ir.arcturusrx.com/investor-calendar,list,"<div class=""nir-widget--list"">","(arcturusrx,2021,Q1,Financial,05/10/2021,4:30pm,EDT,none,none,none)","(arcturusrx,none,none,Summit,05/20/2021.1:30pm,EDT,none,none,http://public.viavid.com/index.php?id=144682)","(arcturusrx,2021,annual,Fireside chat,05/04/2021.1:50pm,EDT,none,none,https://kvgo.com/life-sciences-summit/arcturus-therapeutics-may-2021)","(arcturusrx,2021,none,news,04/01/2021,4:00pm,EDT,none,none,https://kvgo.com/guggenheim/arcturus-therapeutics-april-2021)","(arcturusrx,none,none,Fireside Chat,03/10/2021,1:50pm,EDT,none,none,https://kvgo.com/2021-global-healthcare-conference/arcturus-therapeutics-2021)"
https://www.stephens.com/institutional-equities-and-research/research/events/,list,"<div id=""Content_LeftContent_pnlUpcomingEvents"">","(Stephens , none, none, Debates, 5/12/2021, none, none, none, none, none)","(Kirby Corporation, none, none, virtual company marketing, 5/12/2021, none, none, none, none, none)","(Sterling Bancorp, none, none, virtual company marketing, 5/12/2021, none, none, none, none, none)","(BMT, none, none, news, 5/12/2021, none, none, none, none, none)","(Hubbell Virtual, none, none, virtual company marketing, 5/13/2021, none, none, none, none, none)"
http://ir.pdf.com/webcasts,list,"<div class=""page-content"">","(PDF Solutions, none, first quarter, earnings release results call, may 6 2021, 5:00 PM, EDT, none, none, https://edge.media-server.com/mmc/p/ziup3tnz)","(PDF Solutions, none, fourth quarter, earnings release results call, feb 18 2021, 5:00 PM, EST, none, none, https://edge.media-server.com/mmc/p/gj5s23d9)","(PDF Solutions, none, third quarter, earnings release results call, nov 5 2020, 2:00 PM, PST, none, none, https://edge.media-server.com/mmc/p/pmgw7ikk)","(PDF Solutions, none, second quarter, earnings release results call, aug 6 2020, 2:00 PM, PDT, none, none, https://edge.media-server.com/mmc/p/icyt8byn)","(PDF Solutions, none, first quarter, earnings release results call, may 7 2020, 2:00 PM, PDT, none, none, https://edge.media-server.com/mmc/p/ekoodpne)"
https://ir.celgene.com/feed/Event.svc/GetEventList?apiKey=BF185719B0464B3CB809D23926182246&eventSelection=0&eventDateFilter=0&includeFinancialReports=true&includePresentations=true&includePressReleases=true&sortOperator=1&pageSize=-1&pageNumber=0&tagList=&includeTags=true&year=-1&excludeSelection=1,SKIPPED,,,,,,
https://www.transcat.com/investor-relations/earnings-releases/,list,"<table class=""table table-striped table-stacked"">","(Transcat, 2021, 3rd quarter, earnings release, none, none, none, none, none, http://public.viavid.com/index.php?id=142934)","(Transcat, 2021, 2nd quarter, earnings release, none, none, none, none, none, http://public.viavid.com/index.php?id=141648)","(Transcat, 2021, 1st quarter, earnings release, none, none, none, none, none, http://public.viavid.com/player/index.php?id=140407)","(Transcat, 2020, 4th quarter, earnings release, none, none, none, none, none, http://public.viavid.com/player/index.php?id=138661)","(Transcat, 2020, 3rd quarter, earnings release, none, none, none, none, none, http://public.viavid.com/index.php?id=137348)"
https://ir.collegiumpharma.com/events-and-presentations/event-calendar,list,"<div id=""ndq-content"" class=""ndq-content ndq-5826"">","(Collegium Pharmaceutical, 2021, q1, earnings conference call, may 6 2021, 4:30 PM, EDT, none, none, none)","(Collegium Pharmaceutical, 2020, q4, earnings conference call, feb 25 2021, 4:30 PM, EST, none, none, https://78449.themediaframe.com/dataconf/productusers/colg/mediaframe/42565/indexl.html)","(Collegium Pharmaceutical, 2020, q3, earnings conference call, nov 5 2020, 4:30 PM, EST, none, none, https://78449.themediaframe.com/dataconf/productusers/colg/mediaframe/40189/indexl.html)","(Collegium Pharmaceutical, 2020, q2, earnings conference call, aug 5 2020, 4:30 PM, EDT, none, none, https://78449.themediaframe.com/dataconf/productusers/colg/mediaframe/39853/indexl.html)","(Collegium Pharmaceutical, none, none, annual meeting of shareholders, may 20 2020, 8:30 AM, EDT, none, none, https://edge.media-server.com/mmc/p/9q23qh3z)"
https://investors.itron.com/events-presentations,list,"<article role=""article"" class=""clearfix node node--nir-event--nir-widget-list node--type-nir-event node--view-mode-nir-widget-list"">","(Itron, 2021, first quarter, results, may 3 2021, 10:00 AM, EDT, none, none, https://edge.media-server.com/mmc/p/fv39vg3s)","(Itron, 2020, fourth quarter and full year, earnings release, feb 24 2021, 10:00 AM, EST, none, none, https://edge.media-server.com/mmc/p/rhnccsr8)","(Itron, 2020, third quarter, earnings release, nov 2 2020, 11:00 AM, EST, none, none, https://edge.media-server.com/mmc/p/8u499cau)","(Itron, 2020, second quarter, earnings release, aug 3 2020, 5:00 PM, EDT, none, none, https://edge.media-server.com/mmc/p/dzzc7c5m)","(Itron, 2020, first quarter, earnings release, may 4 2020, 5:00 PM, EDT, none, none, https://edge.media-server.com/mmc/p/mb6rfi69)"
https://www.eplus.com/investors,single,"<div class=""contentBlock regular-bullets"">","(eplus, 2020, none, conference call, feb 3 2021, 4:30 PM, Eastern Time, none, none, none)",,,,
http://ir.berkshirebank.com/event,list,"<div class=""mycontainer"">","(Berkshire Hills Bancorp, none, none, analyst/investor meeting, may 20 2021, none, none, none, none, none)","(Berkshire Hills Bancorp, none, none, annual shareholder meeting, may 20 2021, none, none, none, none, none)","(Berkshire Hills Bancorp, none, q4, earnings conference call, january 26 2021, 10:00 AM, ET, none, none, https://services.choruscall.com/links/bhlb210126.html)","(Berkshire Hills Bancorp, none, q4, earnings release, january 25 2021, none, none, none, none, none)",
http://ir.whitestonereit.com/Presentations,list,"<div id=""irwWrapper"">","(Whitestone Reit, 2020, fourth quarter, investor presentation, 2/24/2021, none, none, none, none, none)",,,,
https://bbvausa.investorroom.com/events,list,"<div class=""wd_events_list"">","(BBVA USA Bancshares, 21, 1q, earnings release, april 30 2021, 8:30 am, CDT, none, none, none)","(BBVA USA Bancshares, 20, 4q, earnings release, january 29 2021, 8:30 pm, CST, none, none, none)",,,
https://investor.brightview.com/events-and-presentations/events-calendar/default.aspx,list,"<div id=""_ctrl0_ctl75_divModuleContainer"" class=""module module-embed module-event-upcoming"">","(BrightView, 2021, q2, earnings call, may 06 2021, none, none, none, none, https://event.on24.com/wcc/r/3080115/0C88CA80C39716461742284AE9B1087F)","(BrightView, 2021, q1, earnings call, feb 4 2021, 10:00 AM, EST, none, none, https://event.on24.com/wcc/r/2948514/6FC62CF71BE1A654F79C4371FA93465C)",,,
https://arcb.com/investor-relations/investor-calendar,list,"<div class=""views-element-container form-group"">","(ArcBest, 2021, 1q, earnings conference call, may 4 2021, none, none, none, none, none)","(ArcBest, 2020, 4q, presentation, february 16 2021, none, none, none, none, none)","(ArcBest, 2020, 4q, earnings conference call, february 2 2021, none, none, none, none, none)","(ArcBest, 2020, 3q, presentation, november 10 2020, none, none, none, none, none)","(ArcBest, 2020, 3q, earnings conference call, november 3 2020, none, none, none, none, none)"
https://oasismidstream.investorroom.com/events-presentations,list,"<div class=""wd_events"">","(Oasis Midstream Partners, 2021, 1q, earnings call, may 06 2021, 12:00pm - 1:00pm, CDT, none, none, https://www.webcaster4.com/Webcast/Page/1777/41033)","(Oasis Midstream Partners, 2020, 4q, earnings call, feb 25 2021, none, none, none, none, none)","(Oasis Midstream Partners, 2020, 3q, earnings call, nov 04 2020, none, none, none, none, none)","(Oasis Midstream Partners, 2020, 2q, earnings call, aug 05 2020, none, none, none, none, none)","(Oasis Midstream Partners, 2020, 1q, earnings call, may 18 2020, none, none, none, none, none)"
http://zynexmed.investorroom.com/presentations-events-and-webcasts,list,"<div class=""wd_events_list"">","(Zynex, 2020, q4 and full year, earnings, february 25 2021, 2:15pm - 3:15pm, MST, none, none, https://www.webcaster4.com/Webcast/Page/1487/40106)","(Zynex, 2020, q3, earnings call, october 27 2020, 4:15pm - 5:15pm, EDT, none, none, https://www.webcaster4.com/Webcast/Page/1487/38303)","(Zynex, 2020, q2, earnings call, july 28 2020, 4:15pm - 5:15pm, EDT, none, none, https://www.webcaster4.com/Webcast/Page/1487/36138)","(Zynex, 2020, q1, earnings call, april 28 2020, 4:15pm, MDT, none, none, https://www.webcaster4.com/Webcast/Page/1487/34403)","(Zynex, 2019, q4 and full year, earnings call, february 27 2020, 4:15pm, MST, none, none, https://www.webcaster4.com/Webcast/Page/1487/33247)"
https://investors.hess.com/Events-and-Webcasts,list,"<div class=""events-listing-content"">","(Hess Corporation, 2021, q1, earnings conference call, 04/28/2021, 10:00 AM, EDT, none, none, none)","(Hess Corporation, 2020, q4, earnings conference call, 01/27/2021, 10:00 AM, EST, none, none, none)",,,
https://ir.ea.com/calendar-and-events/default.aspx,list,"<div class=""module-event-presentation_items-container grid grid--no-gutter"">","(Electronic Arts, none, q4, earnings conference call, may 11 2021, 02:00 pm, PT, none, none, https://event.on24.com/wcc/r/3082295/44574BD8DABA0634EBAFFF035D3C8A3E)","(Electronic Arts, none, q3, earnings conference call, february 2 2021, 02:00 pm, PT, none, none, https://event.on24.com/wcc/r/2925523/CB863802713605F5AEC541A3B65CD03E)",,,
http://ir.yourstatebank.com/Presentations,list,"<div class=""col-xs-12 irwPresentationDocs"">","(SB Financial Group, 2020, Annual, report, 3/11/2021, none, none, none, none, none)","(SB Financial Group, none, none, Acquisition, 2/7/2020, none, none, none, none, none)","(SB Financial Group, 2019, second quarter, conference call, 7/31/2019, none, none, none, none, none)","(SB Financial Group, 2019, first quarter, conference call, 4/18/2019, none, none, none, none, none)",
https://ir.themeetgroup.com/press-releases/default.aspx,list,"<div id=""newsPanel"" class=""scroll"">","(The Philadelphia Inquirer, 2021, none, none, 4/12/2021, 8:08 AM, none, none, none, https://www.businesswire.com/news/home/20210412005289/en/)","(The Meet Group, 2021, none, none, 3/23/2021, 8:05 AM, none, none, nonehttps://www.businesswire.com/news/home/20210323005369/en/)","(The Meet Group, 2021, none, none, 3/18/2021, 8:05 AM, none, none, https://www.businesswire.com/news/home/20210318005255/en/)","(The Meet Group, 2021, none, none, 3/17/2021, 8:03 AM, none, none, https://www.businesswire.com/news/home/20210317005221/en/)","(The Meet Group, 2021, none, none, 2/08/2021, 8:33 AM, none, none, https://www.businesswire.com/news/home/20210208005237/en/)"
https://www.selective.com/investors/reports-earnings-and-presentations/presentations,list/ only pdfs,,,,,,
https://investors.guess.com/events-and-presentations/upcoming-events,list/table,"<table class=""nirtable views-table views-view-table cols-2 collapse-table"">","(Guess, 2021, Q4, Earnings, 03/31/2021, 04:45 PM, EST, none, none, https://edge.media-server.com/mmc/p/tg6sh5s5)","(None, none, none, Conference, 01/11/2021, 11:30 AM, EST, none, none, https://icrinc.touchcast.com/showtime/icr-conference/embed/394a5dd8-73ff-1750-82b0-66c5703f5787)","(Guess, 2021, Q3, Earnings, 12/02/2020, 04:45 PM, EST, none, none, https://edge.media-server.com/mmc/p/we97bbv9)","(Guess, 2021, Q2, Earnings, 09/02/2020, 08:00 AM, EST, none, none, https://edge.media-server.com/mmc/p/96qdpbhd)","(Guess, 2021, Q1, Earnings, 06/10/2020, 08:00 AM, EST, none, none, https://edge.media-server.com/mmc/p/w9nhkrrq)"
https://www.cowen.com/capabilities/conferences-events/,list,"<div class=""card-row card-row-wrap card-row-no-carousel"" id=""misha_posts_wrap"">","(Cowen, none, Infrastructure Summit, 08/09/2021, none, none, none, none, none)","(Cowen, none, FutureHealth Conference, 06/16/2021, none, none, none, none, none)","(Cowen, none, Summit, 06/16/2021, none, none, none, none, none)","(Cowen, none, Conference, 06/01/2021, none, none, none, none, none)","(Cowen, none, Summit, 05/27/2021, none, none, none, none, none)"
https://ir.aon.com/about-aon/investor-relations/events-and-presentations/calendar-of-events/default.aspx,list,"<div class=""ModuleContainerInner"">","(Aon, 2021,  Q1, Earnings, 04/30/2021, 07:30AM, CST, none, none, https://event.on24.com/wcc/r/3079953/6F8A69D109C1B6F1C88B816B82F5F2D7)","(Aon, 2020,  Q4, Earnings, 02/05/2021, 07:30AM, CST, none, none, https://event.on24.com/wcc/r/2943578/EF700F6BD4082E71C42DD42AF31ED1C7)","(Aon, 2020,  Q3, Earnings, 10/30/2020, 08:30AM, EST, none, none, https://event.on24.com/wcc/r/2624981/FFE53705484D6B625C98F867D98D53C9)","(Aon, none,  none, conference, 09/10/2020, 09:40AM, EST, none, none, https://wsw.com/webcast/kbw62/register.aspx?conf=kbw62&page=aon&url=https://wsw.com/webcast/kbw62/aon/1527144)","(Aon, 2020,  Q2, Earnings, 07/31/2020, 08:30AM, EST, none, none, https://event.on24.com/wcc/r/2400647/CCDB827AA9E237ABF1514F667832EB3E)"
https://investors.varian.com/presentations,list,"<div class=""wd_events_list"">","(Varian, 2019,  none, Investor Day, 11/15/2019, none, none, none, none, https://event.webcasts.com/starthere.jsp?ei=1272740&tp_key=89d69aebee)","(Varian, 2019,  Q4, Earnings, 10/23/2019, 04:30PM, EST, none, none, https://www.webcaster4.com/Webcast/Page/2087/31629)","(Varian, 2019,  none, Investor Meeting, 09/16/2019, none, none, none, none, https://event.webcasts.com/starthere.jsp?ei=1260190&tp_key=041f2d4241)","(Varian, 2019,  none, Updates Investors, 08/08/2019, none, none, none, none, none)","(Varian, 2019,  Q3, Earnings, 07/24/2019, none, none, none, none, https://www.investornetwork.com/event/presentation/49576)"
https://ir.iovance.com/investor-calendar,list,"<div class=""block--past-events block--nir-events__widget block--nir-events__widget--5826 block--contentmain--nir-events__widget block--contentmain--nir-events__widget--5826 block--d8c582d0-bed8-4cae-a055-db010f9b8753 block--d8c582d0-bed8-4cae-a055-db010f9b8753--5826 block block-nir-events block-nir-events__widget"">","(Oppenheimer, 2021,  none, Healthcare Conference, 03/17/2021, 1:10PM, EST, none, none, https://wsw.com/webcast/oppenheimer9/iova/2720795)","(Barclays, 2021,  none, Healthcare Conference, 03/11/2021, 1:50PM, EST, none, none, https://kvgo.com/2021-global-healthcare-conference/Iovance-march-2021)","(H.C. Wainwright Global, 2021,  none, Healthcare Conference - Panel, 03/09/2021, 1:00PM, EST, none, none, https://journey.ct.events/view/77c19841-d2aa-433e-8447-a47e4dde66de)","(H.C. Wainwright Global, 2021,  none, Healthcare Conference - Presentation, 03/09/2021, 7:00AM, EST, none, none, https://journey.ct.events/view/e8ba4dfc-f963-4055-b1f3-18289dd9b82e)","(Iovance Biotherapeutics, 2021,  Q4, Earnings, 02/25/2021, 4:30PM, EST, none, none, https://edge.media-server.com/mmc/p/hcrsxpfv)"
https://misonix.gcs-web.com/,list,"<div class=""fusion-row"">","(Misonix, 2021,  Q3, Earnings, 05/06/2021, 4:30PM, EST, none, none, https://edge.media-server.com/mmc/p/c8ptybs2)","(Misonix, none, none, Conference, 03/16/2021, 4:30PM, EST, none, none, none)","(Misonix, 2021,  Q2, Earnings, 02/24/2021, 4:30PM, EST, none, 866-248-8441, https://www.globenewswire.com/Tracker?data=yXHUAM8ag_FOW4_-1etXyd-w-RnL9_tPM4jg9rANwN8Kd87Skxt-38sBQElWkExHpGOrskrRhGE93_3aOI9W2A==)","(Misonix, 2021,  Q1, Earnings, 11/05/2020, 4:30PM, EST, none, 866-269-4261, https://www.globenewswire.com/Tracker?data=FNiU-cGiyUeMpZ6P452k97QUPeHo0bgqrykRicLQwBImrfy1JXk-SSCbn3JQeKKR9BsSyoN2U-Aq4ijIKWDKIg==)","(Misonix, 2020,  Q4, Earnings, 09/03/2020, 4:30PM, EST, none, 800-437-2398, https://www.globenewswire.com/Tracker?data=OJkPA4zfC6GyUyFNdsKVROL4uzpoxjbxBQuSMOGG718Vt8EpIlCMNtLuG8krU6a5JBJdMCWt_m-uRr61RAHRiQ==)"
http://investor.lantheus.com/presentations,list,"<div class=""item-list"">","(Lantheus Holdings, 2021,  Q1, Earnings, 05/04/2021, 8:30PM, EST, none, none, https://edge.media-server.com/mmc/p/vixay5sc)","(SVB Leerink, none,  none, Healthcare Conference, 02/26/2021, 3:00PM, EST, none, none, https://wsw.com/webcast/svbleerink47/lnth/2666496)","(Lantheus Holdings, 2021,  Q1, Earnings, 02/25/2021, 4:30PM, EST, none, none, https://edge.media-server.com/mmc/p/fnf394tc)","(American Society of Clinical Oncology, 2021,  none, Meeting, 02/11/2021, 8:00AM, EST, none, none, none)","(Evercore, none,  none, Conference, 12/01/2020, 3:30PM, EST, none, none, https://wsw.com/webcast/evercore11/lnth/2370942)"
https://investors.adaptivebiotech.com/news-events/events,list,"<div class=""nir-widget--list"">","(Adaptive Biotechnologies, none,  Q1, Earnings, 05/05/2021, 4:30PM, EST, none, none, https://edge.media-server.com/mmc/p/rfyxnk9y)","(Cowen, none,  None, Conference, 03/02/2021, 10:30AM, EST, none, none, https://wsw.com/webcast/cowen81/adpt/1945101)","(Adaptive Biotechnologies, none,  Q4, Earnings, 02/24/2021, 4:30PM, EST, none, none, https://edge.media-server.com/mmc/p/y7tyzac4)","(J.P. Moragan, none,  none, Conference, 01/11/2021, 4:30PM, EST, none, none, https://jpmorgan.metameetings.net/events/healthcare21/sessions/35215-adaptive-biotechnologies/webcast?gpu_only=true&kiosk=true)","(Adaptive Biotechnologies, none,  Q3, Earnings, 11/10/2022, 4:30PM, EST, none, none, https://edge.media-server.com/mmc/p/w2rqkh9p)"
https://ir.efi.com/events-presentations,list,"<div class=""row"">","(efi + sirus capital group, none, none, acquisition, 04/15/2019, none, none, none, none, none)","(none, 2019, none, conference, 01/22/2019, none, none, none, none, https://www.youtube.com/watch?v=uXlcvoGKZPs&feature=youtu.be)","(none, 2019, none, conference, 01/25/2019, none, none, none, none, https://www.youtube.com/watch?v=-wmau-jHpbc&t=3s)","(EFI, 2019, none, meeting, 06/09/2019, 09:00AM, EDT, none, none, none)","(Goldman Sachs, 2019, none, conference, 02/14/2019, 10:10AM, PST, none, none, https://event.webcasts.com/starthere.jsp?ei=1231983&tp_key=ef9fca8939&tp_special=8)"
https://investors.cvrpartners.com/investor-presentations?c=220445&p=irol-presentations,SKIPPED,,,,,,
