,id,event_text,url,url_id,company,fiscal_year,fiscal_period,event_type,date,time,timezone
10,7,"Mar 8, 2021 4:30 pm EDT Fourth Quarter 2020 Earnings Conference Call",http://investors.fullhouseresorts.com/news-event/presentations,2,NONE,None,Quarter 4/Q4,Earnings_Call,04/08/2021,16:30,EDT/EST/ET
11,13,"Stifel 2020 Cross Sector Insight Conference Jun 10, 2020 at 9:20 AM EDT Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,STIFEL,2020,None/Other,Conference,06/10/2020,09:20,EDT/EST/ET
12,13,"Stifel 2020 Cross Sector Insight Conference Jun 10, 2020 at 9:20 AM EDT Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,STIFEL,2020,None/Other,Conference,06/10/2020,09:20,EDT/EST/ET
13,13,"Stifel 2020 Cross Sector Insight Conference Jun 10, 2020 at 9:20 AM EDT Listen to Webcast",https://www.aboutstay.com/news-releases/events,3,STIFEL,None,None/Other,Conference,06/10/2020,09:20,EDT/EST/ET
14,15,"Jul 23, 2021 at 9:00 AM CDT	 Second Quarter 2021 Earnings Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Quarter 2/Q2,Earnings_Release,07/23/2021,09:00,CDT/CST/CT
15,15,"Jul 23, 2021 at 9:00 AM CDT	 Second Quarter 2021 Earnings Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Quarter 2/Q2,Earnings_Release,07/23/2021,09:00,CDT/CST/CT
16,15,"Jul 23, 2021 at 9:00 AM CDT	 Second Quarter 2021 Earnings Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Quarter 2/Q2,Earnings_Release,07/23/2021,09:00,CDT/CST/CT
17,17,"Jun 3, 2021 at 10:00 AM CDT	 Bernstein’s 2021 Strategic Decisions Conference Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,BERNSTEIN,2021,None/Other,Conference,06/03/2021,10:00,CDT/CST/CT
18,17,"Jun 3, 2021 at 10:00 AM CDT	 Bernstein’s 2021 Strategic Decisions Conference Click here for webcast",https://investor.kimberly-clark.com/events-and-presentations/events,4,BERNSTEIN,2021,None/Other,Conference,06/03/2021,10:00,CDT/CST/CT
19,18,"Apr 29, 2021 at 9:00 AM CDT	 2021 Annual Meeting of Stockholders Click here for live webcast of Annual Meeting",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Annual/Yearly,Shareholder_Meeting,04/29/2021,09:00,CDT/CST/CT
20,18,"Apr 29, 2021 at 9:00 AM CDT	 2021 Annual Meeting of Stockholders Click here for live webcast of Annual Meeting",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Annual/Yearly,Shareholder_Meeting,04/29/2021,09:00,CDT/CST/CT
21,18,"Apr 29, 2021 at 9:00 AM CDT	 2021 Annual Meeting of Stockholders Click here for live webcast of Annual Meeting",https://investor.kimberly-clark.com/events-and-presentations/events,4,NONE,2021,Annual/Yearly,Shareholder_Meeting,04/29/2021,09:00,CDT/CST/CT
22,20,"JUN 15, 2021 7:09AM EDT Sutro Biopharma to Participate in Two Virtual Investor Conferences in June",https://ir.sutrobio.com/company-information/presentations,5,SUTRO BIOPHARMA,None,None/Other,Conference,06/15/2021,07:09,EDT/EST/ET
23,20,"JUN 15, 2021 7:09AM EDT Sutro Biopharma to Participate in Two Virtual Investor Conferences in June",https://ir.sutrobio.com/company-information/presentations,5,SUTRO BIOPHARMA,None,None/Other,Conference,06/15/2021,07:09,EDT/EST/ET
24,21,"JUN 17, 2021 3:30 PM EDT JMP Securities Life Sciences Conference",https://ir.sutrobio.com/company-information/presentations,5,JMP SECURITIES,None,None/Other,Conference,06/17/2021,15:30,EDT/EST/ET
25,21,"JUN 17, 2021 3:30 PM EDT JMP Securities Life Sciences Conference",https://ir.sutrobio.com/company-information/presentations,5,JMP SECURITIES,None,None/Other,Conference,06/17/2021,15:30,EDT/EST/ET
26,22,"JUN 23, 2021 10:40 AM EDT Raymond James Human Health Innovation Conference",https://ir.sutrobio.com/company-information/presentations,5,RAYMOND JAMES,None,None/Other,Conference,06/23/2021,10:40,EDT/EST/ET
27,22,"JUN 23, 2021 10:40 AM EDT Raymond James Human Health Innovation Conference",https://ir.sutrobio.com/company-information/presentations,5,RAYMOND JAMES,None,None/Other,Conference,06/23/2021,10:40,EDT/EST/ET
28,23,"JUN 3, 2021 10:00 AM PDT 2021 Annual Meeting of Stockholders",https://ir.sutrobio.com/company-information/presentations,5,NONE,2021,Annual/Yearly,Shareholder_Meeting,06/03/2021,10:00,PDT/PST/PT
29,23,"JUN 3, 2021 10:00 AM PDT 2021 Annual Meeting of Stockholders",https://ir.sutrobio.com/company-information/presentations,5,NONE,2021,Annual/Yearly,Shareholder_Meeting,06/03/2021,10:00,PDT/PST/PT
30,23,"JUN 3, 2021 10:00 AM PDT 2021 Annual Meeting of Stockholders",https://ir.sutrobio.com/company-information/presentations,5,NONE,None,None/Other,Shareholder_Meeting,06/03/2021,10:00,PDT/PST/PT
31,27,"June 09, 2021 3:20 PM ET 	 Stifel 2021 Cross Sector Insight Conference  Webcast",https://investors.switch.com/events-and-presentations,6,STIFEL,None,None/Other,Conference,06/09/2021,15:20,EDT/EST/ET
32,27,"June 09, 2021 3:20 PM ET 	 Stifel 2021 Cross Sector Insight Conference  Webcast",https://investors.switch.com/events-and-presentations,6,STIFEL,2021,None/Other,Conference,06/09/2021,15:20,EDT/EST/ET
33,31,"MAY 18, 2021 • 9:00AM ET 2021 Annual Meeting of Stockholders","https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7,NONE,2021,Annual/Yearly,Shareholder_Meeting,05/18/2021,09:00,EDT/EST/ET
34,31,"MAY 18, 2021 • 9:00AM ET 2021 Annual Meeting of Stockholders","https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7,NONE,2021,Annual/Yearly,Shareholder_Meeting,05/18/2021,09:00,EDT/EST/ET
35,31,"MAY 18, 2021 • 9:00AM ET 2021 Annual Meeting of Stockholders","https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7,NONE,2021,Annual/Yearly,Shareholder_Meeting,05/18/2021,09:00,EDT/EST/ET
36,32,"MAY 6, 2021 • 9:00AM ET InfuSystem Holdings, Inc. First Quarter 2021 Financial Results Conference Call","https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7,"INFUSYSTEM HOLDINGS, INC.",2021,Quarter 1/Q1,Earnings_Call,05/06/2021,09:00,EDT/EST/ET
37,38,"Jun 01, 2021 1:10 PM ET Cowen 49th Annual Media & Telecom Conference Webcast",https://investor.juniper.net/investor-relations/events/default.aspx,9,COWEN,None,None/Other,Conference,06/01/2021,13:10,EDT/EST/ET
38,38,"Jun 01, 2021 1:10 PM ET Cowen 49th Annual Media & Telecom Conference Webcast",https://investor.juniper.net/investor-relations/events/default.aspx,9,COWEN,None,Annual/Yearly,Conference,06/01/2021,13:10,EDT/EST/ET
39,41,"The 16th Annual Needham Virtual Technology & Media Conference May 19, 2021 08:45 am ET Webcast link",https://www.ceragon.com/investors/webcasts,10,NEEDHAM,None,Annual/Yearly,Conference,05/19/2021,08:45,EDT/EST/ET
40,41,"The 16th Annual Needham Virtual Technology & Media Conference May 19, 2021 08:45 am ET Webcast link",https://www.ceragon.com/investors/webcasts,10,NEEDHAM,None,Annual/Yearly,Conference,05/19/2021,08:45,EDT/EST/ET
41,42,"Q1 2021 zoom web conference (registration required) May 3, 2021 9:00am ET",https://www.ceragon.com/investors/webcasts,10,NONE,2021,Quarter 1/Q1,Conference,05/03/2021,09:00,EDT/EST/ET
42,42,"Q1 2021 zoom web conference (registration required) May 3, 2021 9:00am ET",https://www.ceragon.com/investors/webcasts,10,NONE,2021,Quarter 1/Q1,Conference,05/03/2021,09:00,EDT/EST/ET
43,42,"Q1 2021 zoom web conference (registration required) May 3, 2021 9:00am ET",https://www.ceragon.com/investors/webcasts,10,NONE,2021,Quarter 1/Q1,Conference,05/03/2021,09:00,EDT/EST/ET
44,50,"The Anatomy of a Super Basin: Petroleum Systems of the Permian Basin, USA Jul 13, 2021 | 07:00 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,None,None/Other,None/Other,07/13/2021,07:00,CDT/CST/CT
45,50,"The Anatomy of a Super Basin: Petroleum Systems of the Permian Basin, USA Jul 13, 2021 | 07:00 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,None,None/Other,None/Other,07/13/2021,07:00,CDT/CST/CT
46,50,"The Anatomy of a Super Basin: Petroleum Systems of the Permian Basin, USA Jul 13, 2021 | 07:00 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,None,None/Other,None/Other,07/13/2021,07:00,CDT/CST/CT
47,51,"Optimize Rate of Penetration for Maximum Productivity using Artificial Intelligence Jul 14, 2021 | 09:00 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,None,None/Other,None/Other,07/14/2021,09:00,CDT/CST/CT
48,52,"Structural and Stratigraphic Controls of Well Placement in a Highly Compartmentalized Basin: A Collaborative Well Planning Story Jul 15, 2021 | 08:30 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,None,None/Other,None/Other,07/15/2021,08:30,CDT/CST/CT
49,52,"Structural and Stratigraphic Controls of Well Placement in a Highly Compartmentalized Basin: A Collaborative Well Planning Story Jul 15, 2021 | 08:30 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,None,None/Other,None/Other,07/15/2021,08:30,CDT/CST/CT
50,54,"Intelligent Subsurface Characterization Aug 12, 2021 | 08:00 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,None,None/Other,None/Other,08/12/2021,08:00,CDT/CST/CT
51,54,"Intelligent Subsurface Characterization Aug 12, 2021 | 08:00 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,None,None/Other,None/Other,08/12/2021,08:00,CDT/CST/CT
52,55,"Q2 2021 The PNC Financial Services Group Earnings Conference Call Wednesday, July 14, 2021 10:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,PNC FINANCIAL SERVICES GROUP,2021,Quarter 2/Q2,Earnings_Call,07/14/2021,10:00,EDT/EST/ET
53,55,"Q2 2021 The PNC Financial Services Group Earnings Conference Call Wednesday, July 14, 2021 10:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,THE PNC FINANCIAL SERVICES GROUP,2021,Quarter 2/Q2,Earnings_Call,07/14/2021,10:00,EDT/EST/ET
54,57,"Q1 2021 The PNC Financial Services Group Earnings Conference Call Friday, April 16, 2021 9:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,PNC FINANCIAL SERVICES GROUP,2021,Quarter 1/Q1,Earnings_Call,04/16/2021,09:00,EDT/EST/ET
55,57,"Q1 2021 The PNC Financial Services Group Earnings Conference Call Friday, April 16, 2021 9:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,THE PNC FINANCIAL SERVICES GROUP,2021,Quarter 1/Q1,Earnings_Call,04/16/2021,09:00,EDT/EST/ET
56,58,Q4 2020 The PNC Financial Services Group Earnings Conference Call,https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,PNC FINANCIAL SERVICES GROUP,2020,Quarter 4/Q4,Earnings_Call,,nan,None
57,58,Q4 2020 The PNC Financial Services Group Earnings Conference Call,https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,THE PNC FINANCIAL SERVICES GROUP,2020,Quarter 4/Q4,Earnings_Release,,nan,None
58,60,"May 25, 2021 at 12:00 PM EDT UBS Virtual Global Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,UBS,None,None/Other,Conference,05/25/2021,12:00,EDT/EST/ET
59,60,"May 25, 2021 at 12:00 PM EDT UBS Virtual Global Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,UBS,None,None/Other,Conference,05/25/2021,12:00,EDT/EST/ET
60,60,"May 25, 2021 at 12:00 PM EDT UBS Virtual Global Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,UBS,None,None/Other,Conference,05/25/2021,12:00,EDT/EST/ET
61,63,"Mar 9, 2021 at 8:00 AM EST Barclays Virtual Global Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,BARCLAYS,None,None/Other,Conference,03/09/2021,08:00,EDT/EST/ET
62,63,"Mar 9, 2021 at 8:00 AM EST Barclays Virtual Global Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,BARCLAYS,None,None/Other,Conference,03/09/2021,08:00,EDT/EST/ET
63,63,"Mar 9, 2021 at 8:00 AM EST Barclays Virtual Global Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,BARCLAYS,None,None/Other,Conference,03/09/2021,08:00,EDT/EST/ET
64,64,"Jan 14, 2021 at 2:50 PM EST J.P. Morgan Virtual Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,J.P. MORGAN,None,None/Other,Conference,01/14/2021,14:50,EDT/EST/ET
65,64,"Jan 14, 2021 at 2:50 PM EST J.P. Morgan Virtual Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,J.P. MORGAN,None,None/Other,Conference,01/14/2021,14:50,EDT/EST/ET
66,64,"Jan 14, 2021 at 2:50 PM EST J.P. Morgan Virtual Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,J.P. MORGAN,None,None/Other,Conference,01/14/2021,14:50,EDT/EST/ET
67,65,05/14/2021 10:00 AM ET Bimini Capital Management First Quarter 2021 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2021,Quarter 1/Q1,Earnings_Call,05/14/2021,10:00,EDT/EST/ET
68,65,05/14/2021 10:00 AM ET Bimini Capital Management First Quarter 2021 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2021,Quarter 1/Q1,Earnings_Call,05/14/2021,10:00,EDT/EST/ET
69,65,05/14/2021 10:00 AM ET Bimini Capital Management First Quarter 2021 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2021,Quarter 1/Q1,Earnings_Call,05/14/2021,10:00,EDT/EST/ET
70,69,05/15/2020 10:00 AM EDT Bimini Capital Management First Quarter 2020 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2020,Quarter 1/Q1,Earnings_Call,05/15/2020,10:00,EDT/EST/ET
71,69,05/15/2020 10:00 AM EDT Bimini Capital Management First Quarter 2020 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2020,Quarter 1/Q1,Earnings_Call,05/15/2020,10:00,EDT/EST/ET
72,69,05/15/2020 10:00 AM EDT Bimini Capital Management First Quarter 2020 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2020,Quarter 1/Q1,Earnings_Call,05/15/2020,10:00,EDT/EST/ET
73,70,"Tuesday, August 3, 2021  11:00am - 12:00pm CDT 2Q 2021 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2021,Quarter 2/Q2,Earnings_Call,08/03/2021,12:00,CDT/CST/CT
74,70,"Tuesday, August 3, 2021  11:00am - 12:00pm CDT 2Q 2021 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2021,Quarter 2/Q2,Earnings_Call,08/03/2021,12:00,CDT/CST/CT
75,71,"Thursday, April 29, 2021 1Q 2021 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2021,Quarter 1/Q1,Conference,04/29/2021,nan,None
76,71,"Thursday, April 29, 2021 1Q 2021 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2021,Quarter 1/Q1,Earnings_Call,04/29/2021,nan,None
77,71,"Thursday, April 29, 2021 1Q 2021 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,CONTINENTAL RESOURCES,2021,Quarter 1/Q1,Earnings_Call,04/29/2021,nan,None
78,72,"Wednesday, February 17, 2021 4Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2020,Quarter 4/Q4,Earnings_Call,02/17/2021,nan,None
79,72,"Wednesday, February 17, 2021 4Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2020,Quarter 4/Q4,Earnings_Call,02/17/2021,nan,None
80,73,"Friday, November 6, 2020 3Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2020,Quarter 3/Q3,Earnings_Call,11/06/2020,nan,None
81,73,"Friday, November 6, 2020 3Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2020,Quarter 3/Q3,Earnings_Call,11/06/2020,nan,None
82,74,"Tuesday, August 4, 2020 2Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2020,Quarter 2/Q2,Earnings_Call,08/04/2020,nan,None
83,74,"Tuesday, August 4, 2020 2Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2020,Quarter 2/Q2,Earnings_Call,08/04/2020,nan,None
84,74,"Tuesday, August 4, 2020 2Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,CONTINENTAL RESOURCES,2020,Quarter 2/Q2,Earnings_Call,08/04/2020,nan,None
85,77,"2021 Annual Stockholders’ MeetingNov 12, 2021 10:00 AM ET",https://www.elcompanies.com/en/investors/events-and-presentations,18,NONE,2021,Annual/Yearly,Shareholder_Meeting,11/12/2021,10:00,EDT/EST/ET
86,80,"Jul 22, 2021 at 2:15 PM EDT Brian Sullivan, Principal Scientist, Vaccines & Immunology, will present at the Cell-Mediated Therapies for Infectious Disease Summit",http://ir.arcturusrx.com/investor-calendar,19,NONE,None,None/Other,None/Other,07/22/2021,14:15,EDT/EST/ET
87,80,"Jul 22, 2021 at 2:15 PM EDT Brian Sullivan, Principal Scientist, Vaccines & Immunology, will present at the Cell-Mediated Therapies for Infectious Disease Summit",http://ir.arcturusrx.com/investor-calendar,19,NONE,None,None/Other,None/Other,07/22/2021,14:15,EDT/EST/ET
88,81,"Jul 14, 2021 at 12:00 PM EDT Steve Hughes, M.D., Chief Medical Officer, will present at the mRNA-Based Therapeutics Summit",http://ir.arcturusrx.com/investor-calendar,19,NONE,None,None/Other,None/Other,07/14/2021,12:00,EDT/EST/ET
89,81,"Jul 14, 2021 at 12:00 PM EDT Steve Hughes, M.D., Chief Medical Officer, will present at the mRNA-Based Therapeutics Summit",http://ir.arcturusrx.com/investor-calendar,19,NONE,None,None/Other,None/Other,07/14/2021,12:00,EDT/EST/ET
90,83,"Jul 13, 2021 at 10:30 AM EDT Dushyant Varshney, Executive Vice President & Chief Technology Officer, will present at the mRNA-Based Therapeutics Summit",http://ir.arcturusrx.com/investor-calendar,19,NONE,None,None/Other,None/Other,07/13/2021,10:30,EDT/EST/ET
91,85,7/19/2021 Fireside Chat With Origin Materials,https://www.stephens.com/institutional-equities-and-research/research/events/,20,ORIGIN MATERIALS,None,None/Other,None/Other,07/19/2021,nan,None
92,85,7/19/2021 Fireside Chat With Origin Materials,https://www.stephens.com/institutional-equities-and-research/research/events/,20,NONE,None,None/Other,None/Other,07/19/2021,nan,None
93,89,"May 6, 2021 at 5:00 PM EDT PDF Solutions, Inc. First Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",None,Quarter 1/Q1,Earnings_Release,05/06/2021,17:00,EDT/EST/ET
94,89,"May 6, 2021 at 5:00 PM EDT PDF Solutions, Inc. First Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,SOLUTIONS,None,Quarter 1/Q1,Earnings_Release,05/06/2021,17:00,EDT/EST/ET
95,89,"May 6, 2021 at 5:00 PM EDT PDF Solutions, Inc. First Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",None,Quarter 1/Q1,Earnings_Release,05/06/2021,17:00,EDT/EST/ET
96,90,"Feb 18, 2021 at 5:00 PM EST PDF Solutions, Inc. Fourth Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",None,Quarter 4/Q4,Earnings_Release,02/18/2021,17:00,EDT/EST/ET
97,90,"Feb 18, 2021 at 5:00 PM EST PDF Solutions, Inc. Fourth Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,SOLUTIONS,None,Quarter 4/Q4,Earnings_Release,02/18/2021,17:00,EDT/EST/ET
98,90,"Feb 18, 2021 at 5:00 PM EST PDF Solutions, Inc. Fourth Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",None,Quarter 4/Q4,Earnings_Release,02/18/2021,17:00,EDT/EST/ET
99,91,"Nov 5, 2020 at 2:00 PM PST PDF Solutions, Inc. Third Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",None,Quarter 3/Q3,Earnings_Call,11/05/2020,14:00,PDT/PST/PT
100,91,"Nov 5, 2020 at 2:00 PM PST PDF Solutions, Inc. Third Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",None,Quarter 3/Q3,Earnings_Release,11/05/2020,14:00,PDT/PST/PT
101,99,"Collegium Pharmaceutical at the Jefferies Virtual Healthcare Conference Jun 2, 2021 at 4:30 PM EDT",https://ir.collegiumpharma.com/events-and-presentations/event-calendar,24,COLLEGIUM PHARMACEUTICAL,None,None/Other,Conference,06/02/2021,16:30,EDT/EST/ET
102,99,"Collegium Pharmaceutical at the Jefferies Virtual Healthcare Conference Jun 2, 2021 at 4:30 PM EDT",https://ir.collegiumpharma.com/events-and-presentations/event-calendar,24,COLLEGIUM PHARMACEUTICAL,None,None/Other,Conference,06/02/2021,16:30,EDT/EST/ET
103,99,"Collegium Pharmaceutical at the Jefferies Virtual Healthcare Conference Jun 2, 2021 at 4:30 PM EDT",https://ir.collegiumpharma.com/events-and-presentations/event-calendar,24,COLLEGIUM PHARMACEUTICAL,None,None/Other,Conference,06/02/2021,16:30,EDT/EST/ET
104,1283,04 Feb 2020	Group results for 4th quarter and full-year 2019,http://corporate.ferrari.com/en/investors/events-and-presentations/financial-corporate-calendar,323,NONE,2019,Quarter 4/Q4 Annual/Yearly,Sales_Results,02/04/2020,nan,
105,1283,04 Feb 2020	Group results for 4th quarter and full-year 2019,http://corporate.ferrari.com/en/investors/events-and-presentations/financial-corporate-calendar,323,NONE,2019,Quarter 4/Q4,None/Other,02/04/2020,nan,None
106,1283,04 Feb 2020	Group results for 4th quarter and full-year 2019,http://corporate.ferrari.com/en/investors/events-and-presentations/financial-corporate-calendar,323,NONE,2019,Quarter 4/Q4,Sales_Results,02/04/2020,nan,None
107,1283,04 Feb 2020	Group results for 4th quarter and full-year 2019,http://corporate.ferrari.com/en/investors/events-and-presentations/financial-corporate-calendar,323,NONE,2019,Quarter 4/Q4,Earnings_Release,02/04/2020,nan,None
108,1283,04 Feb 2020	Group results for 4th quarter and full-year 2019,http://corporate.ferrari.com/en/investors/events-and-presentations/financial-corporate-calendar,323,NONE,2019,Quarter 4/Q4,Earnings_Release,02/04/2020,nan,None
109,1283,04 Feb 2020	Group results for 4th quarter and full-year 2019,http://corporate.ferrari.com/en/investors/events-and-presentations/financial-corporate-calendar,323,NONE,2019,Quarter 4/Q4,Sales_Results,02/04/2020,nan,None
110,1301,"MAY 14, 2021 11:55 AM EDT Benzinga Global Small Cap Conference",https://ir.virios.com/events-presentations/events,327,Benzinga,2021,None/Other,Conference,05/14/2021,11:55 AM,EDT/EST/ET
111,1301,"MAY 14, 2021 11:55 AM EDT Benzinga Global Small Cap Conference",https://ir.virios.com/events-presentations/events,327,Benzinga,None,None/Other,Conference,05/14/2021,11:55 AM,EDT/EST/ET
