id,event_text,url,url_id,company,fiscal_year,fiscal_period,event_type,date,time,timezone
31,"JUNE 2, 2021 Craig-Hallum 18th Annual Institutional Investor Conference","https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7,CRAIG-HALLUM,NONE,Y,Conference,"Jun 2, 2021",NONE,NONE
32,"MAY 18, 2021 • 9:00AM ET 2021 Annual Meeting of Stockholders","https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7,NONE,2021,Y,Shareholder Meeting,"May 18, 2021",09:00 AM,ET
33,"MAY 6, 2021 • 9:00AM ET InfuSystem Holdings, Inc. First Quarter 2021 Financial Results Conference Call","https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7,"INFUSYSTEM HOLDINGS, INC.",2021,Q1,Earnings Call,"May 6, 2021",09:00 AM,ET
34,"MARCH 25, 2021 • 9:15AM ET Sidoti’s Spring 2021 Virtual Conference","https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7,SIDOTI,2021,NONE,Conference,"Mar 25, 2021",09:15 AM,ET
35,"JUNE 2, 2021 Craig-Hallum 18th Annual Institutional Investor Conference","https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7,CRAIG-HALLUM,NONE,Y,Conference,"Jun 2, 2021",NONE,NONE
36,"Jul 27, 2021 02:00 PM PT	 Juniper Networks Q2 2021 Financial Results Conference Call Webcast",https://investor.juniper.net/investor-relations/events/default.aspx,9,JUNIPER NETWORKS,2021,Q2,Earnings Call,"Jul 27, 2021",02:00 PM,PDT
37,"Jun 08, 2021 1:00 PM ET BofA 2021 Global Technology Conference Webcast",https://investor.juniper.net/investor-relations/events/default.aspx,9,BOFA,2021,NONE,Conference,"Jun 8, 2021",01:00 PM,ET
38,"Jun 07, 2021 11:00 AM ET Evercore ISI TMT Virtual Conference Webcast",https://investor.juniper.net/investor-relations/events/default.aspx,9,EVERCORE,NONE,NONE,Conference,"Jun 7, 2021",11:00 AM,ET
39,"Jun 01, 2021 1:10 PM ET Cowen 49th Annual Media & Telecom Conference Webcast",https://investor.juniper.net/investor-relations/events/default.aspx,9,COWEN,NONE,Y,Conference,"Jun 1, 2021",01:10 PM,ET
40,"May 24, 2021 2:45 PM ET J.P. Morgan 49th Annual Global Technology, Media and Communications Conference Webcast",https://investor.juniper.net/investor-relations/events/default.aspx,9,J.P. MORGAN,NONE,Y,Conference,"May 24, 2021",02:45 PM,ET
41,"Cowen 49th Annual Technology Media & Telecom Conference June 1, 2021 09:10 – 9:40 am EDT Webcast link",https://www.ceragon.com/investors/webcasts,10,COWEN,NONE,Y,Conference,"Jun 1, 2021",09:40 AM,ET
42,"The 16th Annual Needham Virtual Technology & Media Conference May 19, 2021 08:45 am ET Webcast link",https://www.ceragon.com/investors/webcasts,10,NEEDHAM,NONE,Y,Conference,"May 19, 2021",08:45 AM,ET
43,"Q1 2021 zoom web conference (registration required) May 3, 2021 9:00am ET",https://www.ceragon.com/investors/webcasts,10,NONE,2021,Q1,Conference,"May 3, 2021",09:00 AM,ET
44,"The 23rd Annual Needham Growth Conference January 12, 2021 10:00am ET  Audio/webcast replay",https://www.ceragon.com/investors/webcasts,10,NEEDHAM,NONE,Y,Conference,"Jan 12, 2021",10:00 AM,ET
45,"Oppenheimer: 5G Summit: Exploring the Inflection Points (Virtual Conference) December 15, 2020 8:00am - 1:00pm ET  Webcast link",https://www.ceragon.com/investors/webcasts,10,OPPENHEIMER,NONE,NONE,Conference,"Dec 15, 2020",01:00 PM,ET
46,"Raymond James Human Health Innovation Conference June 23, 2021 • 8:00am ET  Webcast",https://www.tonixpharma.com/news-events/investor-presentations,11,RAYMOND JAMES,NONE,NONE,Conference,"Jun 23, 2021",08:00 AM,ET
47,"2021 American Society of Clinical Psychopharmacology (ASCP) Annual Meeting June 1 - June 4, 2021 Virtual",https://www.tonixpharma.com/news-events/investor-presentations,11,AMERICAN SOCIETY OF CLINICAL PSYCHOPHARMACOLOGY (ASCP),2021,Y,Shareholder Meeting,"Jun 4, 2021",NONE,NONE
48,"May Investor Summit Virtual Conference May 17, 2021 • 3:30pm ET  Webcast",https://www.tonixpharma.com/news-events/investor-presentations,11,NONE,NONE,NONE,Conference,"May 17, 2021",03:30 PM,ET
49,"Annual Meeting of Shareholders May 7, 2021 • 11:00am ET Virtual Meeting   Webcast",https://www.tonixpharma.com/news-events/investor-presentations,11,NONE,NONE,Y,Shareholder Meeting,"May 7, 2021",11:00 AM,ET
50,"20th Annual Needham Virtual Healthcare Conference April 14, 2021 • 8:00 am ET  Webcast",https://www.tonixpharma.com/news-events/investor-presentations,11,NEEDHAM,NONE,Y,Conference,"Apr 14, 2021",08:00 AM,ET
51,"The Anatomy of a Super Basin: Petroleum Systems of the Permian Basin, USA Jul 13, 2021 | 07:00 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,NONE,NONE,None/Other,"Jul 13, 2021",07:00 AM,CDT
52,"Optimize Rate of Penetration for Maximum Productivity using Artificial Intelligence Jul 14, 2021 | 09:00 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,NONE,NONE,None/Other,"Jul 14, 2021",09:00 AM,CDT
53,"Structural and Stratigraphic Controls of Well Placement in a Highly Compartmentalized Basin: A Collaborative Well Planning Story Jul 15, 2021 | 08:30 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,NONE,NONE,None/Other,"Jul 15, 2021",08:30 AM,CDT
54,"Introducing DecisionSpace® 365 Essentials – Well Construction Software Jul 22, 2021 | 08:30 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,DECISIONSPACE® 365,NONE,NONE,None/Other,"Jul 22, 2021",08:30 AM,CDT
55,"Intelligent Subsurface Characterization Aug 12, 2021 | 08:00 AM CST",https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12,NONE,NONE,NONE,None/Other,"Aug 12, 2021",08:00 AM,CDT
56,"Q2 2021 The PNC Financial Services Group Earnings Conference Call Wednesday, July 14, 2021 10:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,THE PNC FINANCIAL SERVICES GROUP,2021,Q2,Earnings Call,"Jul 14, 2021",10:00 AM,ET
57,"The PNC Financial Services Group 2021 Annual Meeting of Shareholders Tuesday, April 27, 2021 11:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,PNC FINANCIAL SERVICES GROUP,2021,Y,Shareholder Meeting,"Apr 27, 2021",11:00 AM,ET
58,"Q1 2021 The PNC Financial Services Group Earnings Conference Call Friday, April 16, 2021 9:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,THE PNC FINANCIAL SERVICES GROUP,2021,Q1,Earnings Call,"Apr 16, 2021",09:00 AM,ET
59,Q4 2020 The PNC Financial Services Group Earnings Conference Call,https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,THE PNC FINANCIAL SERVICES GROUP,2020,Q4,Earnings Call,NONE,NONE,NONE
60,"The PNC Financial Services Group at the Morgan Stanley US Financials Conference Tuesday, June 15, 2021 11:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,PNC FINANCIAL SERVICES GROUP,NONE,NONE,Conference,"Jun 15, 2021",11:00 AM,ET
61,"May 25, 2021 at 12:00 PM EDT UBS Virtual Global Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,UBS,NONE,NONE,Conference,"May 25, 2021",12:00 PM,ET
62,"Apr 12, 2021 at 8:45 AM EDT Needham Virtual Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,NEEDHAM,NONE,NONE,Conference,"Apr 12, 2021",08:45 AM,ET
63,"Mar 16, 2021 at 9:20 AM EDT Oppenheimer Virtual Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,OPPENHEIMER,NONE,NONE,Conference,"Mar 16, 2021",09:20 AM,ET
64,"Mar 9, 2021 at 8:00 AM EST Barclays Virtual Global Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,BARCLAYS,NONE,NONE,Conference,"Mar 9, 2021",08:00 AM,ET
65,"Jan 14, 2021 at 2:50 PM EST J.P. Morgan Virtual Healthcare Conference Listen to Webcast",https://investors.angiodynamics.com/events.cfm,15,J.P. MORGAN,NONE,NONE,Conference,"Jan 14, 2021",02:50 PM,ET
66,05/14/2021 10:00 AM ET Bimini Capital Management First Quarter 2021 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2021,Q1,Earnings Call,"May 14, 2021",10:00 AM,ET
67,03/12/2021 10:00 AM ET Bimini Capital Management Fourth Quarter 2020 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2020,Q4,Earnings Call,"Mar 12, 2021",10:00 AM,ET
68,11/06/2020 10:00 AM EST Bimini Capital Management Third Quarter 2020 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2020,Q3,Earnings Call,"Nov 6, 2020",10:00 AM,ET
69,08/14/2020 10:00 AM EDT Bimini Capital Management Second Quarter 2020 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2020,Q2,Earnings Call,"Aug 14, 2020",10:00 AM,ET
70,05/15/2020 10:00 AM EDT Bimini Capital Management First Quarter 2020 Earnings Call,https://ir.biminicapital.com/events-and-presentations/default.aspx,16,BIMINI CAPITAL MANAGEMENT,2020,Q1,Earnings Call,"May 15, 2020",10:00 AM,ET
71,"Tuesday, August 3, 2021  11:00am - 12:00pm CDT 2Q 2021 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2021,Q2,Earnings Call,"Aug 3, 2021",12:00 PM,CDT
72,"Thursday, April 29, 2021 1Q 2021 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2021,Q1,Earnings Call,"Apr 29, 2021",NONE,NONE
73,"Wednesday, February 17, 2021 4Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2020,Q4,Earnings Call,"Feb 17, 2021",NONE,NONE
74,"Friday, November 6, 2020 3Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2020,Q3,Earnings Call,"Nov 6, 2020",NONE,NONE
75,"Tuesday, August 4, 2020 2Q 2020 Continental Resources, Inc. Earnings Conference Call",https://investors.clr.com/event-calendar,17,"CONTINENTAL RESOURCES, INC.",2020,Q2,Earnings Call,"Aug 4, 2020",NONE,NONE
76,"Q4 Fiscal 2021 Earnings Release & Conference CallAug 19, 2021 09:30 AM ET",https://www.elcompanies.com/en/investors/events-and-presentations,18,NONE,2021,Q4,Earnings Release,"Aug 19, 2021",09:30 AM,ET
77,"Q1 Fiscal 2022 Earnings Release & Conference CallNov 02, 2021 09:30 AM ET",https://www.elcompanies.com/en/investors/events-and-presentations,18,NONE,2022,Q1,Earnings Release,"Nov 2, 2021",09:30 AM,ET
78,"2021 Annual Stockholders’ MeetingNov 12, 2021 10:00 AM ET",https://www.elcompanies.com/en/investors/events-and-presentations,18,NONE,2021,Y,Shareholder Meeting,"Nov 12, 2021",10:00 AM,ET
79,"Q2 Fiscal 2022 Earnings Release & Conference CallFeb 03, 2022 09:30 AM ET",https://www.elcompanies.com/en/investors/events-and-presentations,18,NONE,2022,Q2,Earnings Release,"Feb 3, 2022",09:30 AM,ET
80,"Q3 Fiscal 2022 Earnings Release & Conference CallMay 3, 2022 09:30 AM ET",https://www.elcompanies.com/en/investors/events-and-presentations,18,NONE,2022,Q3,Earnings Release,"May 3, 2022",09:30 AM,ET
81,"Jul 22, 2021 at 2:15 PM EDT Brian Sullivan, Principal Scientist, Vaccines & Immunology, will present at the Cell-Mediated Therapies for Infectious Disease Summit",http://ir.arcturusrx.com/investor-calendar,19,NONE,NONE,NONE,None/Other,"Jul 22, 2021",02:15 PM,ET
82,"Jul 14, 2021 at 12:00 PM EDT Steve Hughes, M.D., Chief Medical Officer, will present at the mRNA-Based Therapeutics Summit",http://ir.arcturusrx.com/investor-calendar,19,NONE,NONE,NONE,None/Other,"Jul 14, 2021",12:00 PM,ET
83,"Jul 13, 2021 at 2:00 PM EDT Joe Payne, President and CEO, will present in a Fireside Chat at the Ladenburg Thalmann 2021 Healthcare Conference",http://ir.arcturusrx.com/investor-calendar,19,LADENBURG THALMANN,2021,NONE,Conference,"Jul 13, 2021",02:00 PM,ET
84,"Jul 13, 2021 at 10:30 AM EDT Dushyant Varshney, Executive Vice President & Chief Technology Officer, will present at the mRNA-Based Therapeutics Summit",http://ir.arcturusrx.com/investor-calendar,19,NONE,NONE,NONE,None/Other,"Jul 13, 2021",10:30 AM,ET
85,"Jun 28, 2021 at 12:00 PM EDT Sean Sullivan, Executive Director of Process Development, presented at the mRNA Technologies, Therapeutics and Vaccines Digital Week",http://ir.arcturusrx.com/investor-calendar,19,NONE,NONE,NONE,None/Other,"Jun 28, 2021",12:00 PM,ET
86,7/19/2021 Fireside Chat With Origin Materials,https://www.stephens.com/institutional-equities-and-research/research/events/,20,NONE,NONE,NONE,None/Other,"Jul 19, 2021",NONE,NONE
87,7/20/2021 Cal-Maine Foods Conference Call,https://www.stephens.com/institutional-equities-and-research/research/events/,20,CAL-MAINE FOODS,NONE,NONE,Earnings Call,"Jul 20, 2021",NONE,NONE
88,7/21/2021 US Bancorp Post 2Q21 Conference Call,https://www.stephens.com/institutional-equities-and-research/research/events/,20,US BANCORP,2021,Q2,Earnings Call,"Jul 21, 2021",NONE,NONE
89,8/16/2021 Banks & the Blockchain Expert Call,https://www.stephens.com/institutional-equities-and-research/research/events/,20,NONE,NONE,NONE,Earnings Call,"Aug 16, 2021",NONE,NONE
90,"May 6, 2021 at 5:00 PM EDT PDF Solutions, Inc. First Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",NONE,Q1,Earnings Release,"May 6, 2021",05:00 PM,ET
91,"Feb 18, 2021 at 5:00 PM EST PDF Solutions, Inc. Fourth Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",NONE,Q4,Earnings Release,"Feb 18, 2021",05:00 PM,ET
92,"Nov 5, 2020 at 2:00 PM PST PDF Solutions, Inc. Third Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",NONE,Q3,Earnings Release,"Nov 5, 2020",02:00 PM,PDT
93,"Aug 6, 2020 at 2:00 PM PDT PDF Solutions, Inc. Second Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",NONE,Q2,Earnings Call,"Aug 6, 2020",02:00 PM,PDT
94,"May 7, 2020 at 2:00 PM PDT PDF Solutions, Inc. First Quarter Earnings Release Results Call View Webcast",http://ir.pdf.com/webcasts,21,"PDF SOLUTIONS, INC.",NONE,Q1,Earnings Call,"May 7, 2020",02:00 PM,PDT
95,"4th Quarter 2021 Q4 Earnings Release May 18, 2021",https://www.transcat.com/investor-relations/earnings-releases/,23,NONE,2021,Q4,Earnings Release,"May 18, 2021",NONE,NONE
96,"3rd Quarter 2021 Q3 Earnings Release  February 2, 2021",https://www.transcat.com/investor-relations/earnings-releases/,23,NONE,2021,Q3,Earnings Release,"Feb 2, 2021",NONE,NONE
97,"2nd Quarter  2021 Q2 Earnings Release October 27, 2020",https://www.transcat.com/investor-relations/earnings-releases/,23,NONE,2021,Q2,Earnings Release,"Oct 27, 2020",NONE,NONE
98,"1st Quarter  2021 Q1 Earnings Release July 21, 2020",https://www.transcat.com/investor-relations/earnings-releases/,23,NONE,2021,Q1,Earnings Release,"Jul 21, 2020",NONE,NONE
99,"4th Quarter 2020 Q4 Earnings Release May 19, 2020",https://www.transcat.com/investor-relations/earnings-releases/,23,NONE,2020,Q4,Earnings Release,"May 19, 2020",NONE,NONE
100,"Collegium Pharmaceutical at the Jefferies Virtual Healthcare Conference Jun 2, 2021 at 4:30 PM EDT",https://ir.collegiumpharma.com/events-and-presentations/event-calendar,24,COLLEGIUM PHARMACEUTICAL,NONE,NONE,Conference,"Jun 2, 2021",04:30 PM,ET
101,"Q1 2021 Collegium Pharmaceutical Inc Earnings Conference Call May 6, 2021 at 4:30 PM EDT Click Here for Webcast",https://ir.collegiumpharma.com/events-and-presentations/event-calendar,24,COLLEGIUM PHARMACEUTICAL,2021,Q1,Earnings Call,"May 6, 2021",04:30 PM,ET
102,"Q4 2020 Collegium Pharmaceutical Inc Earnings Conference Call Feb 25, 2021 at 4:30 PM EST Click Here for Webcast",https://ir.collegiumpharma.com/events-and-presentations/event-calendar,24,COLLEGIUM PHARMACEUTICAL,2020,Q4,Earnings Call,"Feb 25, 2021",04:30 PM,ET
103,"Q3 2020 Collegium Pharmaceutical Inc Earnings Conference Call Nov 5, 2020 at 4:30 PM EST Click Here for Webcast",https://ir.collegiumpharma.com/events-and-presentations/event-calendar,24,COLLEGIUM PHARMACEUTICAL INC,2020,Q3,Earnings Call,"Nov 5, 2020",04:30 PM,ET
104,Cnova 2020 Full year Financial Results 18 February 2021,http://www.cnova.com/en/events-and-presentations/,25,CNOVA,2020,Y,Earnings Release,"Feb 18, 2021",NONE,NONE
105,Cnova First Half 2020 Financial Results Conference Call & Webcast 23 July 2020,http://www.cnova.com/en/events-and-presentations/,25,CNOVA,2020,S1,Earnings Call,"Jul 23, 2020",NONE,NONE
106,Cnova Full Year 2019 Financial Results Conference Call & Webcast 18 February 2020,http://www.cnova.com/en/events-and-presentations/,25,CNOVA,2019,Y,Earnings Call,"Feb 18, 2020",NONE,NONE
107,Cnova 2019 Financial Results Conference Call & Webcast 24 July 2019,http://www.cnova.com/en/events-and-presentations/,25,CNOVA,2019,NONE,Conference,"Jul 24, 2019",NONE,NONE
108,Cnova First Half 2018 Financial Results Conference Call & Webcast 24 July 2018,http://www.cnova.com/en/events-and-presentations/,25,CNOVA,2018,S1,Conference,"Jul 24, 2018",NONE,NONE
109,"Itron Second Quarter 2021 Earnings Release Review Aug 5, 2021 at 10:00 AM EDT Listen to webcast",https://investors.itron.com/events-presentations,26,ITRON,2021,Q2,Earnings Release,"Aug 5, 2021",10:00 AM,ET
110,"May 3, 2021 at 10:00 AM EDT Itron First Quarter 2021 Results Listen to webcast",https://investors.itron.com/events-presentations,26,ITRON,2021,Q1,None/Other,"May 3, 2021",10:00 AM,ET
111,"Nov 2, 2020 at 11:00 AM EST Itron Third Quarter 2020 Earnings Release Review Listen to webcast",https://investors.itron.com/events-presentations,26,ITRON,2020,Q3,Earnings Release,"Nov 2, 2020",11:00 AM,ET
112,"Aug 12, 2020 at 1:30 PM EDT Canaccord Genuity’s 40th Annual Growth Conference",https://investors.itron.com/events-presentations,26,CANACCORD GENUITY,NONE,Y,Conference,"Aug 12, 2020",01:30 PM,ET
113,"Aug 11, 2020 at 2:40 PM EDT Oppenheimer’s 23rd Annual Technology, Internet and Communications Conference Listen to webcast",https://investors.itron.com/events-presentations,26,OPPENHEIMER,NONE,Y,Conference,"Aug 11, 2020",02:40 PM,ET
114,"Conference Call Discussing Earnings for Third Quarter 2021 Results April 1, 2021",https://www.eplus.com/investors,27,NONE,2021,Q3,Conference,"Apr 1, 2021",NONE,NONE
115,"Conference Call Discussing Earnings for Second Quarter 2021 Results April 1, 2021",https://www.eplus.com/investors,27,NONE,2021,Q2,Conference,"Apr 1, 2021",NONE,NONE
116,"Conference Call Discussing Earnings for First Quarter 2021 Results August 10, 2020",https://www.eplus.com/investors,27,NONE,2021,Q1,Earnings Call,"Aug 10, 2020",NONE,NONE
117,"Conference Call Discussing Earnings for Fourth Quarter and Fiscal 2020 results May 28, 2020",https://www.eplus.com/investors,27,NONE,2020,Q4,Earnings Call,"May 28, 2020",NONE,NONE
118,"Conference Call Discussing Earnings For Third Quarter 2020 Results February 13, 2020",https://www.eplus.com/investors,27,NONE,2020,Q3,Conference,"Feb 13, 2020",NONE,NONE
