_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,copy_the_company_name_from_the_text,copy_the_company_name_from_the_text:confidence,enter_date_here_mmddyyyy,enter_date_here_mmddyyyy:confidence,enter_time_here_hhmm_pmam,enter_time_here_hhmm_pmam:confidence,please_select_the_event_type,please_select_the_event_type:confidence,select_fiscal_year,select_fiscal_year:confidence,select_the_fiscal_period_check_as_many_as_it_applies,select_the_fiscal_period_check_as_many_as_it_applies:confidence,select_timezone,select_timezone:confidence,copy_the_company_name_from_the_text_gold,enter_date_here_mmddyyyy_gold,enter_time_here_hhmm_pmam_gold,event_text,id,please_select_the_event_type_gold,select_fiscal_year_gold,select_the_fiscal_period_check_as_many_as_it_applies_gold,select_timezone_gold,url,url_id
3085620702,FALSE,finalized,3,7/29/2021 14:34,NONE,1,4/23/2021,1,9:00,1,Earnings_Release,1,2021,1,Quarter 1/Q1,1,CDT/CST/CT,1,,,,"Apr 23, 2021 at 9:00 AM CDT	 First Quarter 2021 Earnings Click here for webcast",19,,,,,https://investor.kimberly-clark.com/events-and-presentations/events,4
3085620703,FALSE,finalized,3,7/28/2021 12:33,SUTRO BIOPHARMA,1,6/15/2021,1,7:09,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"JUN 15, 2021 7:09AM EDT Sutro Biopharma to Participate in Two Virtual Investor Conferences in June",20,,,,,https://ir.sutrobio.com/company-information/presentations,5
3085620704,FALSE,finalized,3,7/28/2021 12:33,JMP SECURITIES,1,6/17/2021,1,15:30,1,Conference,1,None,0.6905,None/Other,1,EDT/EST/ET,1,,,,"JUN 17, 2021 3:30 PM EDT JMP Securities Life Sciences Conference",21,,,,,https://ir.sutrobio.com/company-information/presentations,5
3085620705,FALSE,finalized,3,7/28/2021 11:23,RAYMOND JAMES,1,6/23/2021,0.6905,10:40,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"JUN 23, 2021 10:40 AM EDT Raymond James Human Health Innovation Conference",22,,,,,https://ir.sutrobio.com/company-information/presentations,5
3085620706,FALSE,finalized,3,7/28/2021 8:06,NONE,1,6/3/2021,1,10:00,1,Shareholder_Meeting,1,2021,0.6818,Annual/Yearly,0.6818,PDT/PST/PT,1,,,,"JUN 3, 2021 10:00 AM PDT 2021 Annual Meeting of Stockholders",23,,,,,https://ir.sutrobio.com/company-information/presentations,5
3085620707,FALSE,finalized,3,7/29/2021 10:36,JEFFERIES,1,6/2/2021,1,16:30,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"JUN 2, 2021 4:30 PM EDT Jefferies Virtual Healthcare Conference",24,,,,,https://ir.sutrobio.com/company-information/presentations,5
3085620708,FALSE,finalized,3,7/29/2021 12:22,SWITCH INC.,0.7136,8/5/2021,1,17:00,1,Earnings_Call,1,2021,1,Quarter 2/Q2,1,EDT/EST/ET,1,,,,"August 05, 2021 5:00 PM ET 	 Switch Inc. Second Quarter 2021 Earnings Conference Call  Webcast",25,,,,,https://investors.switch.com/events-and-presentations,6
3085620709,FALSE,finalized,3,7/29/2021 11:48,CREDIT SUISSE,1,6/15/2021,1,11:55,1,Conference,1,None,1,Annual/Yearly,1,EDT/EST/ET,1,,,,"June 15, 2021 11:55 AM ET 	 Credit Suisse 23rd Annual Communications Conference  Webcast",26,,,,,https://investors.switch.com/events-and-presentations,6
3085620710,FALSE,finalized,3,7/28/2021 11:23,STIFEL,1,6/9/2021,0.6905,15:20,1,Conference,1,2021,0.6667,None/Other,1,EDT/EST/ET,1,,,,"June 09, 2021 3:20 PM ET 	 Stifel 2021 Cross Sector Insight Conference  Webcast",27,,,,,https://investors.switch.com/events-and-presentations,6
3085620711,FALSE,finalized,3,7/29/2021 13:45,COWEN,1,6/2/2021,1,15:50,1,Conference,1,None,1,Annual/Yearly,0.7222,EDT/EST/ET,0.7222,,,,"June 02, 2021 3:50 PM ET 	 Cowen 49th Annual Technology, Media & Telecom Conference  Webcast",28,,,,,https://investors.switch.com/events-and-presentations,6
3085620712,FALSE,finalized,3,7/29/2021 14:34,WILLIAM BLAIR,1,6/1/2021,1,15:00,1,Conference,1,None,1,Annual/Yearly,1,EDT/EST/ET,1,,,,"June 01, 2021 3:00 PM ET 	 William Blair 41st Annual Growth Stock Conference  Webcast",29,,,,,https://investors.switch.com/events-and-presentations,6
3085620713,FALSE,finalized,3,7/29/2021 10:36,CRAIG-HALLUM,1,6/2/2021,1,,,Conference,1,None,1,Annual/Yearly,1,None,1,,,,"JUNE 2, 2021 Craig-Hallum 18th Annual Institutional Investor Conference",30,,,,,"https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7
3085620714,FALSE,finalized,4,7/28/2021 13:48,NONE,1,5/18/2021,1,9:00,1,Shareholder_Meeting,1,2021,1,Annual/Yearly,1,EDT/EST/ET,1,,,,"MAY 18, 2021 • 9:00AM ET 2021 Annual Meeting of Stockholders",31,,,,,"https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7
3085620715,FALSE,finalized,3,7/29/2021 9:21,"INFUSYSTEM HOLDINGS, INC.",0.7082,5/6/2021,1,9:00,1,Earnings_Call,1,2021,1,Quarter 1/Q1,1,EDT/EST/ET,1,,,,"MAY 6, 2021 • 9:00AM ET InfuSystem Holdings, Inc. First Quarter 2021 Financial Results Conference Call",32,,,,,"https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7
3085620716,FALSE,finalized,3,7/29/2021 13:04,SIDOTI,1,3/25/2021,1,9:15,1,Conference,1,2021,1,None/Other,1,EDT/EST/ET,1,,,,"MARCH 25, 2021 • 9:15AM ET Sidoti’s Spring 2021 Virtual Conference",33,,,,,"https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7
3085620717,FALSE,finalized,3,7/29/2021 14:01,CRAIG-HALLUM,1,6/2/2021,1,,,Conference,1,None,1,Annual/Yearly,1,None,1,,,,"JUNE 2, 2021 Craig-Hallum 18th Annual Institutional Investor Conference",34,,,,,"https://ir.stockpr.com/infusystem/ir-calendar?InfuSystem%20Holdings,%20Inc.%20Third%20Quarter%202019%20Financial%20Results%20Conference%20CallNovember%2013,%202019%20%E2%80%A2%209:00%20am%20ET",7
3085620718,FALSE,finalized,3,7/29/2021 13:32,JUNIPER NETWORKS,1,7/27/2021,1,14:00,1,Earnings_Call,0.6389,2021,1,Quarter 2/Q2,1,PDT/PST/PT,1,,,,"Jul 27, 2021 02:00 PM PT	 Juniper Networks Q2 2021 Financial Results Conference Call Webcast",35,,,,,https://investor.juniper.net/investor-relations/events/default.aspx,9
3085620719,FALSE,finalized,3,7/29/2021 10:21,BOFA,1,6/8/2021,1,13:00,1,Conference,1,2021,1,None/Other,1,EDT/EST/ET,1,,,,"Jun 08, 2021 1:00 PM ET BofA 2021 Global Technology Conference Webcast",36,,,,,https://investor.juniper.net/investor-relations/events/default.aspx,9
3085620720,FALSE,finalized,3,7/29/2021 12:22,EVERCORE,0.7136,6/7/2021,1,11:00,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"Jun 07, 2021 11:00 AM ET Evercore ISI TMT Virtual Conference Webcast",37,,,,,https://investor.juniper.net/investor-relations/events/default.aspx,9
3085620721,FALSE,finalized,3,7/28/2021 12:37,COWEN,1,6/1/2021,1,13:10,1,Conference,1,None,1,Annual/Yearly,0.6667,EDT/EST/ET,1,,,,"Jun 01, 2021 1:10 PM ET Cowen 49th Annual Media & Telecom Conference Webcast",38,,,,,https://investor.juniper.net/investor-relations/events/default.aspx,9
3085620722,FALSE,finalized,3,7/29/2021 13:32,J.P. MORGAN,1,5/24/2021,1,14:45,0.7222,Conference,1,None,1,Annual/Yearly,0.7222,EDT/EST/ET,1,,,,"May 24, 2021 2:45 PM ET J.P. Morgan 49th Annual Global Technology, Media and Communications Conference Webcast",39,,,,,https://investor.juniper.net/investor-relations/events/default.aspx,9
3085620723,FALSE,finalized,3,7/29/2021 13:54,COWEN,1,6/1/2021,1,9:40,1,Conference,1,None,1,Annual/Yearly,0.7222,EDT/EST/ET,0.7222,,,,"Cowen 49th Annual Technology Media & Telecom Conference June 1, 2021 09:10 – 9:40 am EDT Webcast link",40,,,,,https://www.ceragon.com/investors/webcasts,10
3085620724,FALSE,finalized,3,7/28/2021 11:23,NEEDHAM,1,5/19/2021,1,8:45,1,Conference,1,None,1,Annual/Yearly,1,EDT/EST/ET,1,,,,"The 16th Annual Needham Virtual Technology & Media Conference May 19, 2021 08:45 am ET Webcast link",41,,,,,https://www.ceragon.com/investors/webcasts,10
3085620725,FALSE,finalized,4,7/28/2021 12:32,NONE,1,5/3/2021,1,9:00,1,Conference,1,2021,1,Quarter 1/Q1,1,EDT/EST/ET,1,,,,"Q1 2021 zoom web conference (registration required) May 3, 2021 9:00am ET",42,,,,,https://www.ceragon.com/investors/webcasts,10
3085620726,FALSE,finalized,3,7/29/2021 11:08,NEEDHAM,1,1/12/2021,1,10:00,1,Conference,1,None,1,Annual/Yearly,1,EDT/EST/ET,1,,,,"The 23rd Annual Needham Growth Conference January 12, 2021 10:00am ET  Audio/webcast replay",43,,,,,https://www.ceragon.com/investors/webcasts,10
3085620727,FALSE,finalized,3,7/29/2021 10:36,OPPENHEIMER,1,12/15/2020,0.6629,13:00,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"Oppenheimer: 5G Summit: Exploring the Inflection Points (Virtual Conference) December 15, 2020 8:00am - 1:00pm ET  Webcast link",44,,,,,https://www.ceragon.com/investors/webcasts,10
3085620728,FALSE,finalized,3,7/29/2021 13:04,RAYMOND JAMES,1,6/23/2021,1,8:00,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"Raymond James Human Health Innovation Conference June 23, 2021 • 8:00am ET  Webcast",45,,,,,https://www.tonixpharma.com/news-events/investor-presentations,11
3085620729,FALSE,finalized,3,7/29/2021 14:20,AMERICAN SOCIETY OF CLINICAL PSYCHOPHARMACOLOGY (ASCP),1,6/4/2021,1,,,Shareholder_Meeting,1,2021,1,Annual/Yearly,1,None,1,,,,"2021 American Society of Clinical Psychopharmacology (ASCP) Annual Meeting June 1 - June 4, 2021 Virtual",46,,,,,https://www.tonixpharma.com/news-events/investor-presentations,11
3085620730,FALSE,finalized,3,7/29/2021 12:50,NONE,1,5/17/2021,1,15:30,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"May Investor Summit Virtual Conference May 17, 2021 • 3:30pm ET  Webcast",47,,,,,https://www.tonixpharma.com/news-events/investor-presentations,11
3085620731,FALSE,finalized,3,7/29/2021 14:34,NONE,1,5/7/2021,1,11:00,1,Shareholder_Meeting,1,None,1,Annual/Yearly,1,EDT/EST/ET,1,,,,"Annual Meeting of Shareholders May 7, 2021 • 11:00am ET Virtual Meeting   Webcast",48,,,,,https://www.tonixpharma.com/news-events/investor-presentations,11
3085620732,FALSE,finalized,3,7/29/2021 10:21,NEEDHAM,1,4/14/2021,0.6975,8:00,1,Conference,1,None,1,Annual/Yearly,1,EDT/EST/ET,1,,,,"20th Annual Needham Virtual Healthcare Conference April 14, 2021 • 8:00 am ET  Webcast",49,,,,,https://www.tonixpharma.com/news-events/investor-presentations,11
3085620733,FALSE,finalized,4,7/28/2021 12:32,NONE,1,7/13/2021,1,7:00,1,None/Other,1,None,1,None/Other,1,CDT/CST/CT,1,,,,"The Anatomy of a Super Basin: Petroleum Systems of the Permian Basin, USA Jul 13, 2021 | 07:00 AM CST",50,,,,,https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12
3085620734,FALSE,finalized,3,7/29/2021 9:21,NONE,1,7/14/2021,1,9:00,1,None/Other,1,None,1,None/Other,1,CDT/CST/CT,1,,,,"Optimize Rate of Penetration for Maximum Productivity using Artificial Intelligence Jul 14, 2021 | 09:00 AM CST",51,,,,,https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12
3085620735,FALSE,finalized,3,7/28/2021 12:37,NONE,1,7/15/2021,1,8:30,1,None/Other,1,None,1,None/Other,1,CDT/CST/CT,1,,,,"Structural and Stratigraphic Controls of Well Placement in a Highly Compartmentalized Basin: A Collaborative Well Planning Story Jul 15, 2021 | 08:30 AM CST",52,,,,,https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12
3085620736,FALSE,finalized,3,7/29/2021 11:48,DECISIONSPACE® 365,1,7/22/2021,0.6629,8:30,1,None/Other,1,None,1,None/Other,1,CDT/CST/CT,1,,,,"Introducing DecisionSpace® 365 Essentials – Well Construction Software Jul 22, 2021 | 08:30 AM CST",53,,,,,https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12
3085620737,FALSE,finalized,3,7/28/2021 12:28,NONE,1,8/12/2021,1,8:00,1,None/Other,1,None,1,None/Other,1,CDT/CST/CT,1,,,,"Intelligent Subsurface Characterization Aug 12, 2021 | 08:00 AM CST",54,,,,,https://www.halliburton.com/en-US/events/default.page?node-id=hgbr8q6m,12
3085620738,FALSE,finalized,3,7/28/2021 12:37,THE PNC FINANCIAL SERVICES GROUP,0.6667,7/14/2021,1,10:00,1,Earnings_Call,1,2021,1,Quarter 2/Q2,1,EDT/EST/ET,1,,,,"Q2 2021 The PNC Financial Services Group Earnings Conference Call Wednesday, July 14, 2021 10:00 am EDT",55,,,,,https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14
3085620739,FALSE,finalized,3,7/29/2021 10:36,PNC FINANCIAL SERVICES GROUP,1,4/27/2021,1,11:00,1,Shareholder_Meeting,1,2021,1,Annual/Yearly,0.6629,EDT/EST/ET,1,,,,"The PNC Financial Services Group 2021 Annual Meeting of Shareholders Tuesday, April 27, 2021 11:00 am EDT",56,,,,,https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14
3085620740,FALSE,finalized,3,7/28/2021 12:33,THE PNC FINANCIAL SERVICES GROUP,0.6667,4/16/2021,0.6905,9:00,1,Earnings_Call,1,2021,1,Quarter 1/Q1,1,EDT/EST/ET,1,,,,"Q1 2021 The PNC Financial Services Group Earnings Conference Call Friday, April 16, 2021 9:00 am EDT",57,,,,,https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14
3085620741,FALSE,finalized,3,7/28/2021 12:33,THE PNC FINANCIAL SERVICES GROUP,0.6667,,,,,Earnings_Call,0.6429,2020,1,Quarter 4/Q4,1,None,1,,,,Q4 2020 The PNC Financial Services Group Earnings Conference Call,58,,,,,https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14
3085620742,FALSE,finalized,3,7/29/2021 13:04,PNC FINANCIAL SERVICES GROUP,1,6/15/2021,1,11:00,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"The PNC Financial Services Group at the Morgan Stanley US Financials Conference Tuesday, June 15, 2021 11:00 am EDT",59,,,,,https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14
3085620743,FALSE,finalized,4,7/28/2021 13:48,UBS,1,5/25/2021,1,12:00,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"May 25, 2021 at 12:00 PM EDT UBS Virtual Global Healthcare Conference Listen to Webcast",60,,,,,https://investors.angiodynamics.com/events.cfm,15
3085620744,FALSE,finalized,3,7/29/2021 13:45,NEEDHAM,1,4/12/2021,1,8:45,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,0.7222,,,,"Apr 12, 2021 at 8:45 AM EDT Needham Virtual Healthcare Conference Listen to Webcast",61,,,,,https://investors.angiodynamics.com/events.cfm,15
3085620745,FALSE,finalized,3,7/29/2021 11:48,OPPENHEIMER,1,3/16/2021,1,9:20,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"Mar 16, 2021 at 9:20 AM EDT Oppenheimer Virtual Healthcare Conference Listen to Webcast",62,,,,,https://investors.angiodynamics.com/events.cfm,15
3085620746,FALSE,finalized,4,7/28/2021 13:48,BARCLAYS,1,3/9/2021,1,8:00,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"Mar 9, 2021 at 8:00 AM EST Barclays Virtual Global Healthcare Conference Listen to Webcast",63,,,,,https://investors.angiodynamics.com/events.cfm,15
3085620747,FALSE,finalized,4,7/28/2021 12:43,J.P. MORGAN,1,1/14/2021,1,14:50,1,Conference,1,None,1,None/Other,1,EDT/EST/ET,1,,,,"Jan 14, 2021 at 2:50 PM EST J.P. Morgan Virtual Healthcare Conference Listen to Webcast",64,,,,,https://investors.angiodynamics.com/events.cfm,15
3085620748,FALSE,finalized,4,7/28/2021 12:32,BIMINI CAPITAL MANAGEMENT,1,5/14/2021,1,10:00,1,Earnings_Call,1,2021,1,Quarter 1/Q1,1,EDT/EST/ET,1,,,,05/14/2021 10:00 AM ET Bimini Capital Management First Quarter 2021 Earnings Call,65,,,,,https://ir.biminicapital.com/events-and-presentations/default.aspx,16
3085620749,FALSE,finalized,3,7/29/2021 11:08,BIMINI CAPITAL MANAGEMENT,1,3/12/2021,1,10:00,1,Earnings_Call,1,2020,1,Quarter 4/Q4,1,EDT/EST/ET,1,,,,03/12/2021 10:00 AM ET Bimini Capital Management Fourth Quarter 2020 Earnings Call,66,,,,,https://ir.biminicapital.com/events-and-presentations/default.aspx,16
3085620750,FALSE,finalized,3,7/29/2021 14:20,BIMINI CAPITAL MANAGEMENT,1,11/6/2020,1,10:00,1,Earnings_Call,1,2020,1,Quarter 3/Q3,1,EDT/EST/ET,1,,,,11/06/2020 10:00 AM EST Bimini Capital Management Third Quarter 2020 Earnings Call,67,,,,,https://ir.biminicapital.com/events-and-presentations/default.aspx,16
3085620751,FALSE,finalized,3,7/29/2021 14:01,BIMINI CAPITAL MANAGEMENT,1,8/14/2020,1,10:00,1,Earnings_Call,1,2020,1,Quarter 2/Q2,1,EDT/EST/ET,1,,,,08/14/2020 10:00 AM EDT Bimini Capital Management Second Quarter 2020 Earnings Call,68,,,,,https://ir.biminicapital.com/events-and-presentations/default.aspx,16
3085620752,FALSE,finalized,4,7/28/2021 12:43,BIMINI CAPITAL MANAGEMENT,1,5/15/2020,1,10:00,1,Earnings_Call,1,2020,1,Quarter 1/Q1,1,EDT/EST/ET,1,,,,05/15/2020 10:00 AM EDT Bimini Capital Management First Quarter 2020 Earnings Call,69,,,,,https://ir.biminicapital.com/events-and-presentations/default.aspx,16
3085620753,FALSE,finalized,3,7/28/2021 12:28,"CONTINENTAL RESOURCES, INC.",1,8/3/2021,1,12:00,1,Earnings_Call,1,2021,1,Quarter 2/Q2,1,CDT/CST/CT,1,,,,"Tuesday, August 3, 2021  11:00am - 12:00pm CDT 2Q 2021 Continental Resources, Inc. Earnings Conference Call",70,,,,,https://investors.clr.com/event-calendar,17
3085620754,FALSE,finalized,4,7/28/2021 13:09,"CONTINENTAL RESOURCES, INC.",0.7656,4/29/2021,1,,,Earnings_Call,0.7448,2021,1,Quarter 1/Q1,1,None,1,,,,"Thursday, April 29, 2021 1Q 2021 Continental Resources, Inc. Earnings Conference Call",71,,,,,https://investors.clr.com/event-calendar,17
3085620755,FALSE,finalized,3,7/28/2021 11:23,"CONTINENTAL RESOURCES, INC.",1,2/17/2021,1,,,Earnings_Call,1,2020,1,Quarter 4/Q4,1,None,1,,,,"Wednesday, February 17, 2021 4Q 2020 Continental Resources, Inc. Earnings Conference Call",72,,,,,https://investors.clr.com/event-calendar,17
3085620756,FALSE,finalized,3,7/28/2021 12:40,"CONTINENTAL RESOURCES, INC.",1,11/6/2020,1,,,Earnings_Call,1,2020,1,Quarter 3/Q3,1,None,1,,,,"Friday, November 6, 2020 3Q 2020 Continental Resources, Inc. Earnings Conference Call",73,,,,,https://investors.clr.com/event-calendar,17
3085620757,FALSE,finalized,4,7/28/2021 13:48,"CONTINENTAL RESOURCES, INC.",0.7656,8/4/2020,1,,,Earnings_Call,1,2020,1,Quarter 2/Q2,1,None,1,,,,"Tuesday, August 4, 2020 2Q 2020 Continental Resources, Inc. Earnings Conference Call",74,,,,,https://investors.clr.com/event-calendar,17
3085620758,FALSE,finalized,3,7/29/2021 13:32,NONE,1,8/19/2021,1,9:30,1,Earnings_Release,0.6389,2021,1,Quarter 4/Q4,1,EDT/EST/ET,1,,,,"Q4 Fiscal 2021 Earnings Release & Conference CallAug 19, 2021 09:30 AM ET",75,,,,,https://www.elcompanies.com/en/investors/events-and-presentations,18
