,_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,copy_the_company_name_from_the_text,enter_date_here_mmddyyyy,enter_time_here_hhmm_pmam,please_select_the_event_type,select_fiscal_year,select_the_fiscal_period_check_as_many_as_it_applies,select_timezone,copy_the_company_name_from_the_text_gold,enter_date_here_mmddyyyy_gold,enter_time_here_hhmm_pmam_gold,event_text,id,please_select_the_event_type_gold,select_fiscal_year_gold,select_the_fiscal_period_check_as_many_as_it_applies_gold,select_timezone_gold,url,url_id
2522,3085621526,8/5/2021 7:05,6143970222,8/5/2021 6:59,False,cf_internal,0.9470000000000001,46414484,IN,West Bengal,Kolkata,14.99.28.194,NONE,2/17/2021,10:00,None/Other,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Fourth Quarter 2020 Financial Results February 17, 2021 10:00 AM ET WEBCAST(OPENS IN NEW WINDOW)",835,,,,,https://ir.wingstop.com/home/default.aspx,207
2523,3085621526,8/5/2021 7:18,6143977661,8/5/2021 7:00,False,cf_internal,0.9507,45727626,IN,West Bengal,Howrah,103.75.194.242,NONE,2/17/2021,10:00,Sales_Results,2021,Quarter 4/Q4,EDT/EST/ET,,,,"Fourth Quarter 2020 Financial Results February 17, 2021 10:00 AM ET WEBCAST(OPENS IN NEW WINDOW)",835,,,,,https://ir.wingstop.com/home/default.aspx,207
2656,3085621571,8/5/2021 13:29,6144203153,8/5/2021 13:19,False,cf_internal,0.9541,46414509,IN,West Bengal,Kolkata,103.18.170.49,CAPSTAR,4/23/2021,9:00,Shareholder_Meeting,2021,Annual/Yearly,CDT/CST/CT,,,,"CapStar Annual Meeting Friday, April 23, 2021 9:00 am CDT Webcast",880,,,,,https://ir.capstarbank.com/events-and-presentations/upcoming-events,221
2657,3085621571,8/5/2021 14:20,6144242583,8/5/2021 14:02,False,cf_internal,0.9606,45232889,IN,West Bengal,Kolkata,223.31.230.39,CAPSTAR,4/23/2021,9:00,None/Other,None,Annual/Yearly,CDT/CST/CT,,,,"CapStar Annual Meeting Friday, April 23, 2021 9:00 am CDT Webcast",880,,,,,https://ir.capstarbank.com/events-and-presentations/upcoming-events,221
2658,3085621571,8/6/2021 8:45,6145251874,8/6/2021 8:32,False,cf_internal,0.9584,46414480,IN,West Bengal,Kolkata,103.75.162.215,8:00,4/23/2021,9:00,Conference,None,Annual/Yearly,CDT/CST/CT,,,,"CapStar Annual Meeting Friday, April 23, 2021 9:00 am CDT Webcast",880,,,,,https://ir.capstarbank.com/events-and-presentations/upcoming-events,221
3040,3085621700,8/5/2021 8:47,6144027085,8/5/2021 8:37,False,cf_internal,0.9470000000000001,46414484,IN,West Bengal,Kolkata,14.99.28.194,EVERSPIN TECHNOLOGIES,2/25/2021,17:00,Conference,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Feb.25, 2021 5:00 PM EST	 Everspin Technologies’ Fourth Quarter and Fiscal 2020 Financial Results Conference Call",1008,,,,,https://investor.everspin.com/phoenix.zhtml?c=254442&p=irol-calendar,252
3041,3085621700,8/5/2021 8:48,6144027872,8/5/2021 8:42,False,cf_internal,0.955,46541487,IN,West Bengal,Kolkata,103.240.97.163,EVERSPIN TECHNOLOGIES,2/25/2021,17:00,Earnings_Call,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Feb.25, 2021 5:00 PM EST	 Everspin Technologies’ Fourth Quarter and Fiscal 2020 Financial Results Conference Call",1008,,,,,https://investor.everspin.com/phoenix.zhtml?c=254442&p=irol-calendar,252
3042,3085621700,8/5/2021 8:56,6144031734,8/5/2021 8:47,False,cf_internal,0.9498,46417938,IN,West Bengal,Kolkata,103.217.234.31,EVERSPIN TECHNOLOGIES,2/25/2021,17:00,Sales_Results,2020,Quarter 4/Q4,EDT/EST/ET,,,,"Feb.25, 2021 5:00 PM EST	 Everspin Technologies’ Fourth Quarter and Fiscal 2020 Financial Results Conference Call",1008,,,,,https://investor.everspin.com/phoenix.zhtml?c=254442&p=irol-calendar,252
3277,3085621779,8/5/2021 12:29,6144158149,8/5/2021 12:23,False,cf_internal,0.9541,46414509,IN,West Bengal,Kolkata,103.18.170.49,NONE,5/4/2021,14:00,Earnings_Release,2021,Quarter 2/Q2,PDT/PST/PT,,,,05/04/2021 02:00 PM PDT Second Quarter Fiscal Year 2021 Financial Results Conference Call Webcast(opens in new window),1087,,,,,https://investor.dolby.com/event-calendar,272
3278,3085621779,8/5/2021 12:34,6144161944,8/5/2021 12:28,False,cf_internal,0.9603,46414490,IN,West Bengal,Kolkata,14.99.28.194,NONE,5/4/2021,14:00,Conference,2021,Quarter 2/Q2,PDT/PST/PT,,,,05/04/2021 02:00 PM PDT Second Quarter Fiscal Year 2021 Financial Results Conference Call Webcast(opens in new window),1087,,,,,https://investor.dolby.com/event-calendar,272
3279,3085621779,8/5/2021 13:29,6144203182,8/5/2021 13:21,False,cf_internal,0.9606,45232889,IN,West Bengal,Kolkata,223.31.230.39,NONE,5/4/2021,14:00,Earnings_Call,2021,Quarter 2/Q2,PDT/PST/PT,,,,05/04/2021 02:00 PM PDT Second Quarter Fiscal Year 2021 Financial Results Conference Call Webcast(opens in new window),1087,,,,,https://investor.dolby.com/event-calendar,272
